,No,Text,Label,tokens,tokens_fdist,normalized,tokens_stemmed
673,674,udah apply kantor  dan  buat magang nanti kirakira apply di mana lagi ya buat antisipasi,3,"['udah', 'apply', 'kantor', 'dan', 'buat', 'magang', 'nanti', 'kirakira', 'apply', 'di', 'mana', 'lagi', 'ya', 'buat', 'antisipasi']","['udah', 'apply', 'kantor', 'magang', 'kirakira', 'apply', 'antisipasi']","['sudah', 'apply', 'kantor', 'dan', 'buat', 'magang', 'nanti', 'kirakira', 'apply', 'di', 'mana', 'lagi', 'ya', 'buat', 'antisipasi']","['sudah', 'apply', 'kantor', 'dan', 'buat', 'magang', 'nanti', 'kirakira', 'apply', 'di', 'mana', 'lagi', 'ya', 'buat', 'antisipasi']"
674,675,jadwal kelas hari ini padet banget ditambah tanggungjawab lain kayak kerja partime demi masa depan cerah aku akan semangat menjalani hari,3,"['jadwal', 'kelas', 'hari', 'ini', 'padet', 'banget', 'ditambah', 'tanggungjawab', 'lain', 'kayak', 'kerja', 'partime', 'demi', 'masa', 'depan', 'cerah', 'aku', 'akan', 'semangat', 'menjalani', 'hari']","['jadwal', 'kelas', 'padet', 'banget', 'ditambah', 'tanggungjawab', 'kayak', 'kerja', 'partime', 'cerah', 'semangat', 'menjalani']","['jadwal', 'kelas', 'hari', 'ini', 'padet', 'banget', 'ditambah', 'tanggungjawab', 'lain', 'seperti', 'kerja', 'partime', 'demi', 'masa', 'depan', 'cerah', 'saya', 'akan', 'semangat', 'menjalani', 'hari']","['jadwal', 'kelas', 'hari', 'ini', 'padet', 'banget', 'tambah', 'tanggungjawab', 'lain', 'seperti', 'kerja', 'partime', 'demi', 'masa', 'depan', 'cerah', 'saya', 'akan', 'semangat', 'jalan', 'hari']"
675,676,orangorang yang main tiap hari padahal tugasnya belum selesai tuh kok bisa ya aku mau main pas tugas masih ada tuh rasanya gak bisa,3,"['orangorang', 'yang', 'main', 'tiap', 'hari', 'padahal', 'tugasnya', 'belum', 'selesai', 'tuh', 'kok', 'bisa', 'ya', 'aku', 'mau', 'main', 'pas', 'tugas', 'masih', 'ada', 'tuh', 'rasanya', 'gak', 'bisa']","['orangorang', 'main', 'tugasnya', 'selesai', 'main', 'pas', 'tugas']","['orangorang', 'yang', 'main', 'tiap', 'hari', 'padahal', 'tugasnya', 'belum', 'selesai', 'tuh', 'kok', 'bisa', 'ya', 'saya', 'mau', 'main', 'pas', 'tugas', 'masih', 'ada', 'tuh', 'rasanya', 'tidak', 'bisa']","['orangorang', 'yang', 'main', 'tiap', 'hari', 'padahal', 'tugas', 'belum', 'selesai', 'tuh', 'kok', 'bisa', 'ya', 'saya', 'mau', 'main', 'pas', 'tugas', 'masih', 'ada', 'tuh', 'rasa', 'tidak', 'bisa']"
676,677,lulus dari telkom aku mau kerja ke luar negri deh biar banyak peluang yang bisa diambil,3,"['lulus', 'dari', 'telkom', 'aku', 'mau', 'kerja', 'ke', 'luar', 'negri', 'deh', 'biar', 'banyak', 'peluang', 'yang', 'bisa', 'diambil']","['lulus', 'telkom', 'kerja', 'negri', 'deh', 'peluang', 'diambil']","['lulus', 'dari', 'telkom', 'saya', 'mau', 'kerja', 'ke', 'luar', 'negri', 'deh', 'biar', 'banyak', 'peluang', 'yang', 'bisa', 'diambil']","['lulus', 'dari', 'telkom', 'saya', 'mau', 'kerja', 'ke', 'luar', 'negri', 'deh', 'biar', 'banyak', 'peluang', 'yang', 'bisa', 'ambil']"
677,678,kalau gak kerja keras sekarang apa yang mau dinikmati di masa tua gue gak mau nyesel karena gak berusaha keras dari sekarang,3,"['kalau', 'gak', 'kerja', 'keras', 'sekarang', 'apa', 'yang', 'mau', 'dinikmati', 'di', 'masa', 'tua', 'gue', 'gak', 'mau', 'nyesel', 'karena', 'gak', 'berusaha', 'keras', 'dari', 'sekarang']","['kerja', 'keras', 'dinikmati', 'tua', 'gue', 'nyesel', 'berusaha', 'keras']","['kalau', 'tidak', 'kerja', 'keras', 'sekarang', 'apa', 'yang', 'mau', 'dinikmati', 'di', 'masa', 'tua', 'saya', 'tidak', 'mau', 'nyesel', 'karena', 'tidak', 'berusaha', 'keras', 'dari', 'sekarang']","['kalau', 'tidak', 'kerja', 'keras', 'sekarang', 'apa', 'yang', 'mau', 'nikmat', 'di', 'masa', 'tua', 'saya', 'tidak', 'mau', 'nyesel', 'karena', 'tidak', 'usaha', 'keras', 'dari', 'sekarang']"
678,679,orang kok bisa ya ngeludah di tempat umum gak mikirin adab etika apa ya tu orang,3,"['orang', 'kok', 'bisa', 'ya', 'ngeludah', 'di', 'tempat', 'umum', 'gak', 'mikirin', 'adab', 'etika', 'apa', 'ya', 'tu', 'orang']","['orang', 'ngeludah', 'mikirin', 'adab', 'etika', 'tu', 'orang']","['orang', 'kok', 'bisa', 'ya', 'ngeludah', 'di', 'tempat', 'umum', 'tidak', 'mikirin', 'adab', 'etika', 'apa', 'ya', 'tu', 'orang']","['orang', 'kok', 'bisa', 'ya', 'ngeludah', 'di', 'tempat', 'umum', 'tidak', 'mikirin', 'adab', 'etika', 'apa', 'ya', 'tu', 'orang']"
679,680,kemarin habis ngelamar kerja di perusahaan yang udah gue incer dari jaman kuliah doain semoga gue keterima ya tementemen,3,"['kemarin', 'habis', 'ngelamar', 'kerja', 'di', 'perusahaan', 'yang', 'udah', 'gue', 'incer', 'dari', 'jaman', 'kuliah', 'doain', 'semoga', 'gue', 'keterima', 'ya', 'tementemen']","['kemarin', 'habis', 'ngelamar', 'kerja', 'perusahaan', 'udah', 'gue', 'incer', 'jaman', 'kuliah', 'doain', 'semoga', 'gue', 'keterima', 'tementemen']","['kemarin', 'habis', 'ngelamar', 'kerja', 'di', 'perusahaan', 'yang', 'sudah', 'saya', 'incer', 'dari', 'jaman', 'kuliah', 'doain', 'semoga', 'saya', 'keterima', 'ya', 'tementemen']","['kemarin', 'habis', 'ngelamar', 'kerja', 'di', 'usaha', 'yang', 'sudah', 'saya', 'incer', 'dari', 'jaman', 'kuliah', 'doain', 'moga', 'saya', 'terima', 'ya', 'tementemen']"
680,681,kurang rajin apa aku ngambil sks di semester ini habis itu masih ikut seleksi asprak dan apply asdos,3,"['kurang', 'rajin', 'apa', 'aku', 'ngambil', 'sks', 'di', 'semester', 'ini', 'habis', 'itu', 'masih', 'ikut', 'seleksi', 'asprak', 'dan', 'apply', 'asdos']","['rajin', 'ngambil', 'sks', 'semester', 'habis', 'seleksi', 'asprak', 'apply', 'asdos']","['kurang', 'rajin', 'apa', 'saya', 'ngambil', 'sks', 'di', 'semester', 'ini', 'habis', 'itu', 'masih', 'ikut', 'seleksi', 'asprak', 'dan', 'apply', 'asdos']","['kurang', 'rajin', 'apa', 'saya', 'ngambil', 'sks', 'di', 'semester', 'ini', 'habis', 'itu', 'masih', 'ikut', 'seleksi', 'asprak', 'dan', 'apply', 'asdos']"
681,682,seneng banget habis dipromosiin atasan karena kinerja gue yang bagus selama tahun kerja di sini,3,"['seneng', 'banget', 'habis', 'dipromosiin', 'atasan', 'karena', 'kinerja', 'gue', 'yang', 'bagus', 'selama', 'tahun', 'kerja', 'di', 'sini']","['seneng', 'banget', 'habis', 'dipromosiin', 'atasan', 'kinerja', 'gue', 'bagus', 'kerja']","['seneng', 'banget', 'habis', 'dipromosiin', 'atasan', 'karena', 'kinerja', 'saya', 'yang', 'bagus', 'selama', 'tahun', 'kerja', 'di', 'sini']","['neng', 'banget', 'habis', 'dipromosiin', 'atas', 'karena', 'kerja', 'saya', 'yang', 'bagus', 'lama', 'tahun', 'kerja', 'di', 'sini']"
682,683,menurutku punya tujuan dan rencana yang matang buat masa depan itu penting sih karena kita jadi punya motivasi dan gak sembarangan ngerjain yang gak perlu,3,"['menurutku', 'punya', 'tujuan', 'dan', 'rencana', 'yang', 'matang', 'buat', 'masa', 'depan', 'itu', 'penting', 'sih', 'karena', 'kita', 'jadi', 'punya', 'motivasi', 'dan', 'gak', 'sembarangan', 'ngerjain', 'yang', 'gak', 'perlu']","['menurutku', 'tujuan', 'rencana', 'matang', 'motivasi', 'sembarangan', 'ngerjain']","['menurutku', 'punya', 'tujuan', 'dan', 'rencana', 'yang', 'matang', 'buat', 'masa', 'depan', 'itu', 'penting', 'sih', 'karena', 'kita', 'jadi', 'punya', 'motivasi', 'dan', 'tidak', 'sembarangan', 'ngerjain', 'yang', 'tidak', 'perlu']","['turut', 'punya', 'tuju', 'dan', 'rencana', 'yang', 'matang', 'buat', 'masa', 'depan', 'itu', 'penting', 'sih', 'karena', 'kita', 'jadi', 'punya', 'motivasi', 'dan', 'tidak', 'sembarang', 'ngerjain', 'yang', 'tidak', 'perlu']"
683,684,prestasi yang udah gue raih selama semester kuliah ini salah satunya adalah bisa jalanin project bareng dosen dan jadi wakil ketua himpunan di prodi sendiri,3,"['prestasi', 'yang', 'udah', 'gue', 'raih', 'selama', 'semester', 'kuliah', 'ini', 'salah', 'satunya', 'adalah', 'bisa', 'jalanin', 'project', 'bareng', 'dosen', 'dan', 'jadi', 'wakil', 'ketua', 'himpunan', 'di', 'prodi', 'sendiri']","['prestasi', 'udah', 'gue', 'raih', 'semester', 'kuliah', 'salah', 'satunya', 'jalanin', 'project', 'bareng', 'dosen', 'wakil', 'ketua', 'himpunan', 'prodi']","['prestasi', 'yang', 'sudah', 'saya', 'raih', 'selama', 'semester', 'kuliah', 'ini', 'salah', 'satunya', 'adalah', 'bisa', 'jalanin', 'project', 'bareng', 'dosen', 'dan', 'jadi', 'wakil', 'ketua', 'himpunan', 'di', 'prodi', 'sendiri']","['prestasi', 'yang', 'sudah', 'saya', 'raih', 'lama', 'semester', 'kuliah', 'ini', 'salah', 'satu', 'adalah', 'bisa', 'jalanin', 'project', 'bareng', 'dosen', 'dan', 'jadi', 'wakil', 'ketua', 'himpun', 'di', 'prodi', 'sendiri']"
684,685,kalau kita gagal  harusnya kita bisa bangkit sebanyak ,3,"['kalau', 'kita', 'gagal', 'harusnya', 'kita', 'bisa', 'bangkit', 'sebanyak']","['gagal', 'bangkit']","['kalau', 'kita', 'gagal', 'harusnya', 'kita', 'bisa', 'bangkit', 'sebanyak']","['kalau', 'kita', 'gagal', 'harus', 'kita', 'bisa', 'bangkit', 'banyak']"
685,686,semua to do list yang gue buat di kemarin terlaksana dengan baik dan gue sangat puas dengan hasilnya,3,"['semua', 'to', 'do', 'list', 'yang', 'gue', 'buat', 'di', 'kemarin', 'terlaksana', 'dengan', 'baik', 'dan', 'gue', 'sangat', 'puas', 'dengan', 'hasilnya']","['to', 'do', 'list', 'gue', 'kemarin', 'terlaksana', 'gue', 'puas', 'hasilnya']","['semua', 'to', 'do', 'list', 'yang', 'saya', 'buat', 'di', 'kemarin', 'terlaksana', 'dengan', 'baik', 'dan', 'saya', 'sangat', 'puas', 'dengan', 'hasilnya']","['semua', 'to', 'do', 'list', 'yang', 'saya', 'buat', 'di', 'kemarin', 'laksana', 'dengan', 'baik', 'dan', 'saya', 'sangat', 'puas', 'dengan', 'hasil']"
686,687,aku punya komitmen di tahun ini buat gak terlalu buang waktu ke hal yang gak penting,3,"['aku', 'punya', 'komitmen', 'di', 'tahun', 'ini', 'buat', 'gak', 'terlalu', 'buang', 'waktu', 'ke', 'hal', 'yang', 'gak', 'penting']","['komitmen', 'buang']","['saya', 'punya', 'komitmen', 'di', 'tahun', 'ini', 'buat', 'tidak', 'terlalu', 'buang', 'waktu', 'ke', 'hal', 'yang', 'tidak', 'penting']","['saya', 'punya', 'komitmen', 'di', 'tahun', 'ini', 'buat', 'tidak', 'terlalu', 'buang', 'waktu', 'ke', 'hal', 'yang', 'tidak', 'penting']"
687,688,asal punya komitmen mah semua rencana yang dibuat di awal pasti bakalan tercapai kok guys,3,"['asal', 'punya', 'komitmen', 'mah', 'semua', 'rencana', 'yang', 'dibuat', 'di', 'awal', 'pasti', 'bakalan', 'tercapai', 'kok', 'guys']","['komitmen', 'mah', 'rencana', 'tercapai', 'guys']","['asal', 'punya', 'komitmen', 'mah', 'semua', 'rencana', 'yang', 'dibuat', 'di', 'awal', 'pasti', 'bakalan', 'tercapai', 'kok', 'guys']","['asal', 'punya', 'komitmen', 'mah', 'semua', 'rencana', 'yang', 'buat', 'di', 'awal', 'pasti', 'bakal', 'capai', 'kok', 'guys']"
688,689,lagi banyak novel yang bagus tapi aku gak boleh boros gaboleh jadi orang yang impulsive please,3,"['lagi', 'banyak', 'novel', 'yang', 'bagus', 'tapi', 'aku', 'gak', 'boleh', 'boros', 'gaboleh', 'jadi', 'orang', 'yang', 'impulsive', 'please']","['novel', 'bagus', 'boros', 'gaboleh', 'orang', 'impulsive', 'please']","['lagi', 'banyak', 'novel', 'yang', 'bagus', 'tetapi', 'saya', 'tidak', 'boleh', 'boros', 'gaboleh', 'jadi', 'orang', 'yang', 'impulsive', 'please']","['lagi', 'banyak', 'novel', 'yang', 'bagus', 'tetapi', 'saya', 'tidak', 'boleh', 'boros', 'gaboleh', 'jadi', 'orang', 'yang', 'impulsive', 'please']"
689,690,selagi masih ada opsi lain buat baca buku kayak minjem ke perpus aku bakalan minjem karena hidup sekarang harus hemat huhuhu,3,"['selagi', 'masih', 'ada', 'opsi', 'lain', 'buat', 'baca', 'buku', 'kayak', 'minjem', 'ke', 'perpus', 'aku', 'bakalan', 'minjem', 'karena', 'hidup', 'sekarang', 'harus', 'hemat', 'huhuhu']","['selagi', 'opsi', 'baca', 'buku', 'kayak', 'minjem', 'perpus', 'minjem', 'hidup', 'hemat', 'huhuhu']","['selagi', 'masih', 'ada', 'opsi', 'lain', 'buat', 'baca', 'buku', 'seperti', 'minjem', 'ke', 'perpus', 'saya', 'bakalan', 'minjem', 'karena', 'hidup', 'sekarang', 'harus', 'hemat', 'huhuhu']","['selagi', 'masih', 'ada', 'opsi', 'lain', 'buat', 'baca', 'buku', 'seperti', 'minjem', 'ke', 'pus', 'saya', 'bakal', 'minjem', 'karena', 'hidup', 'sekarang', 'harus', 'hemat', 'huhuhu']"
690,691,kemarin abis daftar mbkm dan ambil posisi sebagai content creator tapi gue juga udah daftar course yang flexible sih sebagai antisipasi,3,"['kemarin', 'abis', 'daftar', 'mbkm', 'dan', 'ambil', 'posisi', 'sebagai', 'content', 'creator', 'tapi', 'gue', 'juga', 'udah', 'daftar', 'course', 'yang', 'flexible', 'sih', 'sebagai', 'antisipasi']","['kemarin', 'abis', 'daftar', 'mbkm', 'ambil', 'posisi', 'content', 'creator', 'gue', 'udah', 'daftar', 'course', 'flexible', 'antisipasi']","['kemarin', 'abis', 'daftar', 'mbkm', 'dan', 'ambil', 'posisi', 'sebagai', 'content', 'creator', 'tetapi', 'saya', 'juga', 'sudah', 'daftar', 'course', 'yang', 'flexible', 'sih', 'sebagai', 'antisipasi']","['kemarin', 'abis', 'daftar', 'mbkm', 'dan', 'ambil', 'posisi', 'bagai', 'content', 'creator', 'tetapi', 'saya', 'juga', 'sudah', 'daftar', 'course', 'yang', 'flexible', 'sih', 'bagai', 'antisipasi']"
691,692,abis ditawarin dua proyek sama temen mending pilih satu apa dua duanya ya,3,"['abis', 'ditawarin', 'dua', 'proyek', 'sama', 'temen', 'mending', 'pilih', 'satu', 'apa', 'dua', 'duanya', 'ya']","['abis', 'ditawarin', 'proyek', 'temen', 'mending', 'pilih', 'duanya']","['abis', 'ditawarin', 'dua', 'proyek', 'sama', 'temen', 'mending', 'pilih', 'satu', 'apa', 'dua', 'duanya', 'ya']","['abis', 'ditawarin', 'dua', 'proyek', 'sama', 'temen', 'mending', 'pilih', 'satu', 'apa', 'dua', 'dua', 'ya']"
692,693,rapat kepanitiaan jam dan sekarang udah jam setengah gue harus cepet berangkat sih biar gak terlambat,3,"['rapat', 'kepanitiaan', 'jam', 'dan', 'sekarang', 'udah', 'jam', 'setengah', 'gue', 'harus', 'cepet', 'berangkat', 'sih', 'biar', 'gak', 'terlambat']","['rapat', 'kepanitiaan', 'jam', 'udah', 'jam', 'gue', 'cepet', 'berangkat', 'terlambat']","['rapat', 'kepanitiaan', 'jam', 'dan', 'sekarang', 'sudah', 'jam', 'setengah', 'saya', 'harus', 'cepet', 'berangkat', 'sih', 'biar', 'tidak', 'terlambat']","['rapat', 'panitia', 'jam', 'dan', 'sekarang', 'sudah', 'jam', 'tengah', 'saya', 'harus', 'cepet', 'berangkat', 'sih', 'biar', 'tidak', 'lambat']"
693,694,rencanaku buat semester ini adalah fokus menyelesaikan proposal biar bisa sempro cepet,3,"['rencanaku', 'buat', 'semester', 'ini', 'adalah', 'fokus', 'menyelesaikan', 'proposal', 'biar', 'bisa', 'sempro', 'cepet']","['rencanaku', 'semester', 'fokus', 'menyelesaikan', 'proposal', 'sempro', 'cepet']","['rencanaku', 'buat', 'semester', 'ini', 'adalah', 'fokus', 'menyelesaikan', 'proposal', 'biar', 'bisa', 'sempro', 'cepet']","['rencana', 'buat', 'semester', 'ini', 'adalah', 'fokus', 'selesai', 'proposal', 'biar', 'bisa', 'sempro', 'cepet']"
694,695,sejauh ini hidup gue berjalan sesuai rencana semester ini bisa sempro dan semoga semester depan bisa wisuda deh,3,"['sejauh', 'ini', 'hidup', 'gue', 'berjalan', 'sesuai', 'rencana', 'semester', 'ini', 'bisa', 'sempro', 'dan', 'semoga', 'semester', 'depan', 'bisa', 'wisuda', 'deh']","['hidup', 'gue', 'berjalan', 'sesuai', 'rencana', 'semester', 'sempro', 'semoga', 'semester', 'wisuda', 'deh']","['sejauh', 'ini', 'hidup', 'saya', 'berjalan', 'sesuai', 'rencana', 'semester', 'ini', 'bisa', 'sempro', 'dan', 'semoga', 'semester', 'depan', 'bisa', 'wisuda', 'deh']","['jauh', 'ini', 'hidup', 'saya', 'jalan', 'sesuai', 'rencana', 'semester', 'ini', 'bisa', 'sempro', 'dan', 'moga', 'semester', 'depan', 'bisa', 'wisuda', 'deh']"
695,696,ditawarin jadi koordinator asprak pas lagi interview makin sibuk aja nih jadwal,3,"['ditawarin', 'jadi', 'koordinator', 'asprak', 'pas', 'lagi', 'interview', 'makin', 'sibuk', 'aja', 'nih', 'jadwal']","['ditawarin', 'koordinator', 'asprak', 'pas', 'interview', 'sibuk', 'jadwal']","['ditawarin', 'jadi', 'koordinator', 'asprak', 'pas', 'lagi', 'interview', 'makin', 'sibuk', 'saja', 'nih', 'jadwal']","['ditawarin', 'jadi', 'koordinator', 'asprak', 'pas', 'lagi', 'interview', 'makin', 'sibuk', 'saja', 'nih', 'jadwal']"
696,697,lagi liburan gini gue apply part time jadi barista di salah satu coffeeshop semoga keterima deh lumayan buat ngisi waktu luang,3,"['lagi', 'liburan', 'gini', 'gue', 'apply', 'part', 'time', 'jadi', 'barista', 'di', 'salah', 'satu', 'coffeeshop', 'semoga', 'keterima', 'deh', 'lumayan', 'buat', 'ngisi', 'waktu', 'luang']","['liburan', 'gini', 'gue', 'apply', 'part', 'time', 'barista', 'salah', 'coffeeshop', 'semoga', 'keterima', 'deh', 'lumayan', 'ngisi', 'luang']","['lagi', 'liburan', 'gini', 'saya', 'apply', 'part', 'time', 'jadi', 'barista', 'di', 'salah', 'satu', 'coffeeshop', 'semoga', 'keterima', 'deh', 'lumayan', 'buat', 'ngisi', 'waktu', 'luang']","['lagi', 'libur', 'gin', 'saya', 'apply', 'part', 'time', 'jadi', 'barista', 'di', 'salah', 'satu', 'coffeeshop', 'moga', 'terima', 'deh', 'lumayan', 'buat', 'ngisi', 'waktu', 'luang']"
697,698,selain fokus ke akademik aku juga harus fokus buat benerin ibadahku,3,"['selain', 'fokus', 'ke', 'akademik', 'aku', 'juga', 'harus', 'fokus', 'buat', 'benerin', 'ibadahku']","['fokus', 'akademik', 'fokus', 'benerin', 'ibadahku']","['selain', 'fokus', 'ke', 'akademik', 'saya', 'juga', 'harus', 'fokus', 'buat', 'benerin', 'ibadahku']","['selain', 'fokus', 'ke', 'akademik', 'saya', 'juga', 'harus', 'fokus', 'buat', 'benerin', 'ibadah']"
698,699,inget guys usaha tanpa doa itu sombong dan doa tanpa usaha itu bohong,3,"['inget', 'guys', 'usaha', 'tanpa', 'doa', 'itu', 'sombong', 'dan', 'doa', 'tanpa', 'usaha', 'itu', 'bohong']","['inget', 'guys', 'usaha', 'doa', 'sombong', 'doa', 'usaha', 'bohong']","['inget', 'guys', 'usaha', 'tanpa', 'doa', 'itu', 'sombong', 'dan', 'doa', 'tanpa', 'usaha', 'itu', 'bohong']","['inget', 'guys', 'usaha', 'tanpa', 'doa', 'itu', 'sombong', 'dan', 'doa', 'tanpa', 'usaha', 'itu', 'bohong']"
699,700,setiap manusia tuh pasti memperjuangkan hidupnya masingmasing sih biar bisa jadi orang yang sukses makanya kita harus konsisten sama apa yang kita rencanain,3,"['setiap', 'manusia', 'tuh', 'pasti', 'memperjuangkan', 'hidupnya', 'masingmasing', 'sih', 'biar', 'bisa', 'jadi', 'orang', 'yang', 'sukses', 'makanya', 'kita', 'harus', 'konsisten', 'sama', 'apa', 'yang', 'kita', 'rencanain']","['manusia', 'memperjuangkan', 'hidupnya', 'masingmasing', 'orang', 'sukses', 'konsisten', 'rencanain']","['setiap', 'manusia', 'tuh', 'pasti', 'memperjuangkan', 'hidupnya', 'masingmasing', 'sih', 'biar', 'bisa', 'jadi', 'orang', 'yang', 'sukses', 'makanya', 'kita', 'harus', 'konsisten', 'sama', 'apa', 'yang', 'kita', 'rencanain']","['tiap', 'manusia', 'tuh', 'pasti', 'juang', 'hidup', 'masingmasing', 'sih', 'biar', 'bisa', 'jadi', 'orang', 'yang', 'sukses', 'makanya', 'kita', 'harus', 'konsisten', 'sama', 'apa', 'yang', 'kita', 'rencanain']"
700,701,jujur aku kangen tementemen kampusku kangen prodi kangen pengen cepet ngampus lagi,3,"['jujur', 'aku', 'kangen', 'tementemen', 'kampusku', 'kangen', 'prodi', 'kangen', 'pengen', 'cepet', 'ngampus', 'lagi']","['jujur', 'kangen', 'tementemen', 'kampusku', 'kangen', 'prodi', 'kangen', 'pengen', 'cepet', 'ngampus']","['jujur', 'saya', 'kangen', 'tementemen', 'kampusku', 'kangen', 'prodi', 'kangen', 'pengen', 'cepet', 'ngampus', 'lagi']","['jujur', 'saya', 'kangen', 'tementemen', 'kampus', 'kangen', 'prodi', 'kangen', 'ken', 'cepet', 'ngampus', 'lagi']"
701,702,nugas di cafe yang rame tuh kurang efisien menurut gue gue pribadi lebih suka nugas di perpustakaan karena itu lebih bisa bikin gue ngerasa fokus,3,"['nugas', 'di', 'cafe', 'yang', 'rame', 'tuh', 'kurang', 'efisien', 'menurut', 'gue', 'gue', 'pribadi', 'lebih', 'suka', 'nugas', 'di', 'perpustakaan', 'karena', 'itu', 'lebih', 'bisa', 'bikin', 'gue', 'ngerasa', 'fokus']","['nugas', 'cafe', 'rame', 'efisien', 'gue', 'gue', 'pribadi', 'suka', 'nugas', 'perpustakaan', 'gue', 'ngerasa', 'fokus']","['nugas', 'di', 'cafe', 'yang', 'rame', 'tuh', 'kurang', 'efisien', 'menurut', 'saya', 'saya', 'pribadi', 'lebih', 'suka', 'nugas', 'di', 'perpustakaan', 'karena', 'itu', 'lebih', 'bisa', 'bikin', 'saya', 'ngerasa', 'fokus']","['nugas', 'di', 'cafe', 'yang', 'rame', 'tuh', 'kurang', 'efisien', 'turut', 'saya', 'saya', 'pribadi', 'lebih', 'suka', 'nugas', 'di', 'pustaka', 'karena', 'itu', 'lebih', 'bisa', 'bikin', 'saya', 'ngerasa', 'fokus']"
702,703,akhirnya keterima jadi asdos juga semester ini semoga semester depan dapet tawaran langsung deh dari dosennya,3,"['akhirnya', 'keterima', 'jadi', 'asdos', 'juga', 'semester', 'ini', 'semoga', 'semester', 'depan', 'dapet', 'tawaran', 'langsung', 'deh', 'dari', 'dosennya']","['keterima', 'asdos', 'semester', 'semoga', 'semester', 'dapet', 'tawaran', 'langsung', 'deh', 'dosennya']","['akhirnya', 'keterima', 'jadi', 'asdos', 'juga', 'semester', 'ini', 'semoga', 'semester', 'depan', 'dapet', 'tawaran', 'langsung', 'deh', 'dari', 'dosennya']","['akhir', 'terima', 'jadi', 'asdos', 'juga', 'semester', 'ini', 'moga', 'semester', 'depan', 'dapet', 'tawar', 'langsung', 'deh', 'dari', 'dosen']"
703,704,semakin yakin skor utbk gue bisa tembus,3,"['semakin', 'yakin', 'skor', 'utbk', 'gue', 'bisa', 'tembus']","['skor', 'utbk', 'gue', 'tembus']","['semakin', 'yakin', 'skor', 'utbk', 'saya', 'bisa', 'tembus']","['makin', 'yakin', 'skor', 'utbk', 'saya', 'bisa', 'tembus']"
704,705,dengan ratarata rapor gue yang itu gue yakin bisa keterima pilihan sih,3,"['dengan', 'ratarata', 'rapor', 'gue', 'yang', 'itu', 'gue', 'yakin', 'bisa', 'keterima', 'pilihan', 'sih']","['ratarata', 'rapor', 'gue', 'gue', 'keterima', 'pilihan']","['dengan', 'ratarata', 'rapor', 'saya', 'yang', 'itu', 'saya', 'yakin', 'bisa', 'keterima', 'pilihan', 'sih']","['dengan', 'ratarata', 'rapor', 'saya', 'yang', 'itu', 'saya', 'yakin', 'bisa', 'terima', 'pilih', 'sih']"
705,706,gue harus nyelesain revisian malem ini gue gak mau nundanunda kerjaan,3,"['gue', 'harus', 'nyelesain', 'revisian', 'malem', 'ini', 'gue', 'gak', 'mau', 'nundanunda', 'kerjaan']","['gue', 'nyelesain', 'revisian', 'malem', 'gue', 'nundanunda', 'kerjaan']","['saya', 'harus', 'nyelesain', 'revisian', 'malem', 'ini', 'saya', 'tidak', 'mau', 'nundanunda', 'kerjaan']","['saya', 'harus', 'nyelesain', 'revisi', 'malem', 'ini', 'saya', 'tidak', 'mau', 'nundanunda', 'kerja']"
706,707,rencana hari ini adalah gue mau beresberes kamar karena gue lebih suka kamar yang rapih,3,"['rencana', 'hari', 'ini', 'adalah', 'gue', 'mau', 'beresberes', 'kamar', 'karena', 'gue', 'lebih', 'suka', 'kamar', 'yang', 'rapih']","['rencana', 'gue', 'beresberes', 'kamar', 'gue', 'suka', 'kamar', 'rapih']","['rencana', 'hari', 'ini', 'adalah', 'saya', 'mau', 'beresberes', 'kamar', 'karena', 'saya', 'lebih', 'suka', 'kamar', 'yang', 'rapih']","['rencana', 'hari', 'ini', 'adalah', 'saya', 'mau', 'beresberes', 'kamar', 'karena', 'saya', 'lebih', 'suka', 'kamar', 'yang', 'rapih']"
707,708,mau ganti tata letak kamar ini deh biar lebih rapih dan teratur,3,"['mau', 'ganti', 'tata', 'letak', 'kamar', 'ini', 'deh', 'biar', 'lebih', 'rapih', 'dan', 'teratur']","['ganti', 'tata', 'letak', 'kamar', 'deh', 'rapih', 'teratur']","['mau', 'ganti', 'tata', 'letak', 'kamar', 'ini', 'deh', 'biar', 'lebih', 'rapih', 'dan', 'teratur']","['mau', 'ganti', 'tata', 'letak', 'kamar', 'ini', 'deh', 'biar', 'lebih', 'rapih', 'dan', 'atur']"
708,709,gue gak suka ngutang menurut gue kita tuh harus nabung dulu buat beli sesuatu yang kita mau,3,"['gue', 'gak', 'suka', 'ngutang', 'menurut', 'gue', 'kita', 'tuh', 'harus', 'nabung', 'dulu', 'buat', 'beli', 'sesuatu', 'yang', 'kita', 'mau']","['gue', 'suka', 'ngutang', 'gue', 'nabung', 'beli']","['saya', 'tidak', 'suka', 'ngutang', 'menurut', 'saya', 'kita', 'tuh', 'harus', 'nabung', 'dulu', 'buat', 'beli', 'sesuatu', 'yang', 'kita', 'mau']","['saya', 'tidak', 'suka', 'ngutang', 'turut', 'saya', 'kita', 'tuh', 'harus', 'nabung', 'dulu', 'buat', 'beli', 'sesuatu', 'yang', 'kita', 'mau']"
