EXTRAVERSION,AGREEABLENESS,CONSCIENTIOUSNESS,NEUROTICISM,OPENNESS,tokens,tokens_fdist,normalized
tementemen aku ngajak main ke pulau nihh tapi kita nabung dulu biar bisa puas jajan plus berpetualang di pulai nantii aaa ga sabar pasti seruuu,"bagi info donasi dong, lagi ada program bantu korban kebakaran nih.","kesempatan emang gak dateng dua kali, tapi ini terlalu riskan kalau gegabah. aku harus berpikir secara matang.",apa yang harus dirayakan? pencapaianku biasa-biasa aja gak se wah orang-orang,"gue dulu bener-bener pengen masuk kedokteran, tapi ternyata ketolak. namanya juga hidup, kita gak selalu bisa punya yang kita mau.","['tementemen', 'aku', 'ngajak', 'main', 'ke', 'pulau', 'nihh', 'tapi', 'kita', 'nabung', 'dulu', 'biar', 'bisa', 'puas', 'jajan', 'plus', 'berpetualang', 'di', 'pulai', 'nantii', 'aaa', 'ga', 'sabar', 'pasti', 'seruuu']","['tementemen', 'ngajak', 'main', 'pulau', 'nihh', 'nabung', 'puas', 'jajan', 'plus', 'berpetualang', 'pulai', 'nantii', 'aaa', 'sabar', 'seruuu']","['tementemen', 'saya', 'ngajak', 'main', 'ke', 'pulau', 'nihh', 'tetapi', 'kita', 'nabung', 'dulu', 'biar', 'bisa', 'puas', 'jajan', 'plus', 'berpetualang', 'di', 'pulai', 'nantii', 'aaa', 'tidak', 'sabar', 'pasti', 'seruuu']"
bahagia itu sederhana bisa setiap saat liburan bareng temen temen,"kenapa orang orang masih marah marah ya, ini kan bukan perkara yang besar, baiknya kita maafkan aja kesalahan orang lain, dan cepat move on..",keliatannya santai tapi gue lagi ngerencanain buat beresin semua ini satu per satu.,"sometimes, aku suka ngerasa tiba tiba sedih, ngerasa kayak sepi banget sendirian gada yang nemenin rasanya kosong bangetttttt….padahal udah terbiasa sendiri tapi kadang tiba tiba sedih aja pengen ditemenin pengen dipeluk.","gaslah muda cuma sekali, selagi ada kesempatan baru, sikat aja.","['bahagia', 'itu', 'sederhana', 'bisa', 'setiap', 'saat', 'liburan', 'bareng', 'temen', 'temen']","['bahagia', 'sederhana', 'liburan', 'bareng', 'temen', 'temen']","['bahagia', 'itu', 'sederhana', 'bisa', 'setiap', 'saat', 'liburan', 'bareng', 'temen', 'temen']"
gue di kosan bosen banget deh ada yang mau ikut gue keluar motoran ga,gue seneng banget kalo lihat orang yang tulus dan ikhlas dalam membantu apapun,"kalian ada yang sama ky aku ga? setiap akhir bulan, selalu sempetin buat evaluasi diri. apa yang udah dicapai, apa yang masih perlu diperbaiki. biar kita terukur kedepannya","depresi menurut gue itu nyata gaes, karena gue ngalamin sendiri. tiap hari bawaanya gelap terus, ga ada semangat buat ngapa-ngapain.",aku suka banget nonton film indie. cerita dari film itu sering kali lebih dalam dan menyentuh dibanding dengan film-film yang komersial,"['gue', 'di', 'kosan', 'bosen', 'banget', 'deh', 'ada', 'yang', 'mau', 'ikut', 'gue', 'keluar', 'motoran', 'ga']","['gue', 'kosan', 'bosen', 'banget', 'deh', 'gue', 'motoran']","['saya', 'di', 'kosan', 'bosen', 'banget', 'deh', 'ada', 'yang', 'mau', 'ikut', 'saya', 'keluar', 'motoran', 'tidak']"
jarang stress karna banyak temen yang bisa diajak berkegiatan bareng belanja belanja shopping atau cuma sekedar nongkrong nongkrong di kafe,"apa yang terlepas, bukan takdirku, apa yang ditakdirkan bagiku, takkan terlepas, tetap percaya bahwa skenario tuhan adalah yang terbaik bagi kita.","di dua tahun pertama usia anak, penting banget buat negbangun secure attachment, dan ini butuh komitmen dari kita sebagai orang tua nya.","gatau kenapa yah gue orangnya gampang banget sedih, gampang depresi juga, kalo habis dengerin cerita cerita atau berita berita buruk.","kalo liburan gue lebih suka cari kegiatan kegiatan baru yang belum pernah gue ikutin, tiap ada info acara yang baru yang belum pernah gue ikutin, biasanya gue akan langsung daftar.","['jarang', 'stress', 'karna', 'banyak', 'temen', 'yang', 'bisa', 'diajak', 'berkegiatan', 'bareng', 'belanja', 'belanja', 'shopping', 'atau', 'cuma', 'sekedar', 'nongkrong', 'nongkrong', 'di', 'kafe']","['jarang', 'stress', 'karna', 'temen', 'diajak', 'berkegiatan', 'bareng', 'belanja', 'belanja', 'shopping', 'sekedar', 'nongkrong', 'nongkrong', 'kafe']","['jarang', 'stress', 'karena', 'banyak', 'temen', 'yang', 'bisa', 'diajak', 'berkegiatan', 'bareng', 'belanja', 'belanja', 'shopping', 'atau', 'cuma', 'sekedar', 'nongkrong', 'nongkrong', 'di', 'kafe']"
gue cerita curhat sama tementemen di cafe ternyata mereka juga pernah mengalami hal yang sama rasa lega bercerita,"tadi beliin adek es krim coklat, dia suka bangett sampe bilang terima kasih terus terusan wkwkwk","hidup butuh duit, jadi aku gak boleh males-malesan berangkat kerja. semangat!","buat orang yang mengidap depresi, kesepian dan miskin kayak gue, jgn mengharapkan ada yang mau nyelamatin ya. ga ada yang mau bantu orang kayak kita ",saya selalu bedain mana yang mau debat atau diskusi.,"['gue', 'cerita', 'curhat', 'sama', 'tementemen', 'di', 'cafe', 'ternyata', 'mereka', 'juga', 'pernah', 'mengalami', 'hal', 'yang', 'sama', 'rasa', 'lega', 'bercerita']","['gue', 'cerita', 'curhat', 'tementemen', 'cafe', 'mengalami', 'lega', 'bercerita']","['saya', 'cerita', 'curhat', 'sama', 'tementemen', 'di', 'cafe', 'ternyata', 'mereka', 'juga', 'pernah', 'mengalami', 'hal', 'yang', 'sama', 'rasa', 'lega', 'bercerita']"
cerita lucu adek di rumah selalu bisa bikin suasana ceria hari ini jadi ketawa terus sampe hampir nangis,"sering ngeluh? ayo ubah pikiran kita dengan bersyukur. liat sekeliling, pasti banyak hal kecil yang bisa bikin kita senyum. 😊",aku punya komitmen di tahun ini buat gak terlalu buang waktu ke hal yang gak penting,"hari ini aku merasa desperate banget, ada beberapa hal yang buatku memang ingin menyerah.",banyak2 tes minat bakat ya biar lo tau minat lo sama kemampuan lo cocoknya dimana. takutnya lo  berakhir lo salah jurusan dan stuck gak bisa berkembang,"['cerita', 'lucu', 'adek', 'di', 'rumah', 'selalu', 'bisa', 'bikin', 'suasana', 'ceria', 'hari', 'ini', 'jadi', 'ketawa', 'terus', 'sampe', 'hampir', 'nangis']","['cerita', 'lucu', 'adek', 'rumah', 'suasana', 'ceria', 'ketawa', 'sampe', 'nangis']","['cerita', 'lucu', 'adek', 'di', 'rumah', 'selalu', 'bisa', 'bikin', 'suasana', 'ceria', 'hari', 'ini', 'jadi', 'ketawa', 'terus', 'sampe', 'hampir', 'nangis']"
hari ini gue dan pacar belanja bersama cari barang yang kita suka seru banget lihat selera belanja kita saling melengkapi,"kalau ada masalah, liat dari sisi positifnya aja ga sih. biar ga sedih-sedih banget wkwkwk","kemarin habis ngelamar kerja di 2 perusahaan yang udah gue incer dari jaman kuliah, doain semoga gue keterima ya temen-temen",saking banyaknya mau ngelakuin hobi ujung ujungnya ga ngelakuin apa apa,"ketika gue berbicara dengan orang-orang dengan latar belakang berbeda, gue selalu belajar sesuatu yang baru dan menarik","['hari', 'ini', 'gue', 'dan', 'pacar', 'belanja', 'bersama', 'cari', 'barang', 'yang', 'kita', 'suka', 'seru', 'banget', 'lihat', 'selera', 'belanja', 'kita', 'saling', 'melengkapi']","['gue', 'pacar', 'belanja', 'cari', 'barang', 'suka', 'seru', 'banget', 'lihat', 'selera', 'belanja', 'melengkapi']","['hari', 'ini', 'saya', 'dan', 'pacar', 'belanja', 'bersama', 'cari', 'barang', 'yang', 'kita', 'suka', 'seru', 'banget', 'lihat', 'selera', 'belanja', 'kita', 'saling', 'melengkapi']"
bahagia banget banyak yang dateng ke syukuran wisuda akuuuuuu,"ngeluarin duit apalagi buat bantu orang gak pernah terasa jadi beban, justru seneng bisa meringankan beban orang lain..","aku kerja di animal rescue dan hari ini ada burung hantu habis ketabrak mobil, sedih banget deh..",stress deh gueee bawaannya pengen nangis mulu tiap hari dirumah sejak gue di phk sebulanan yang lalu,"malem malem gue lebih suka merenung dan kadang malah ngelamun, membiarkan imajinasi dan ide ide dalam pikiran gue larut..","['bahagia', 'banget', 'banyak', 'yang', 'dateng', 'ke', 'syukuran', 'wisuda', 'akuuuuuu']","['bahagia', 'banget', 'dateng', 'syukuran', 'wisuda', 'akuuuuuu']","['bahagia', 'banget', 'banyak', 'yang', 'dateng', 'ke', 'syukuran', 'wisuda', 'akuuuuuu']"
weekend ini gue ada rencana glamping sama tementemen kampus gue pasti seru banget tempat glampingnya baru buka pasti banya orang yang dateng deh,"jaga lisan kita yuk, jangan sampe ada perkataan kita nyakitin hati orang, lebih baik berkata kata yang baik ke siapapun itu.","prinsip gue kalo ada tugas kuliah, harus diselesaikan dulu baru gue bisa bebas main abis itu.","bisa ngga ya, sehari aja gue ngga pesimis sama diri sendiri.","hobby gue tiap hari mainin puzzle, atau mainan mainan kreativitas lain, gue suka banget pokoknya.","['weekend', 'ini', 'gue', 'ada', 'rencana', 'glamping', 'sama', 'tementemen', 'kampus', 'gue', 'pasti', 'seru', 'banget', 'tempat', 'glampingnya', 'baru', 'buka', 'pasti', 'banya', 'orang', 'yang', 'dateng', 'deh']","['weekend', 'gue', 'rencana', 'glamping', 'tementemen', 'kampus', 'gue', 'seru', 'banget', 'glampingnya', 'buka', 'banya', 'orang', 'dateng', 'deh']","['weekend', 'ini', 'saya', 'ada', 'rencana', 'glamping', 'sama', 'tementemen', 'kampus', 'saya', 'pasti', 'seru', 'banget', 'tempat', 'glampingnya', 'baru', 'buka', 'pasti', 'banya', 'orang', 'yang', 'dateng', 'deh']"
siang ini ada workshop bakal dapet relasi baru asikk,"anak-anak yang kurang mampu tuh butuh bantuan kita juga loh, jadi kalau ada rezeki bisa nyisihkan rezeki kita ke mereka yaa","gue selalu siapin plan b buat antisipasi hal-hal yang ga terduga, lebih baik persiapan dulu daripada bingung kemudian hehe",apa yang gue pilih pasti gue bimbang dan ragu ngga pernah yakin sama pilihan gue sendiri. takut salah dan nyesel di akhir,gue tuh pengin jadi ilmuwan yang gak cuma ngikutin aturan. tapi gue jg berani buat berekperimen hal-hal baru ,"['siang', 'ini', 'ada', 'workshop', 'bakal', 'dapet', 'relasi', 'baru', 'asikk']","['siang', 'workshop', 'dapet', 'relasi', 'asikk']","['siang', 'ini', 'ada', 'workshop', 'bakal', 'dapet', 'relasi', 'baru', 'asikk']"
detik ini gue baru sadar que orangnya ekstrovert banget gue suka keramaian,"hari ini bantuin temen ngasih tebengan pulang kantor karena motornya tiba tiba mogok, gantinya dia yang beliin gue bensin. kan, berbagi kebaikan gini walopun kecil dan sederhana, bikin hati jadi bahagia ya!","sebenernya apapun goals yang kita punya, kuncinya self-discipline, disiplin, ketelitian, dan kontrol diri supaya tetap fokus menjalani rencana rencana yang sudah ada. gue berusaha melakukan hal hal itu setiap punya tujuan tertentu yang ingin gue capai.","waktu kecil dulu gue gampang nangis, ditinggal bentar aja ama nyokap gue langsung sedih nyariin dia.","dipikir pikir, gue emang sering memikirkan makna yang lebih dalam dari suatu hal.","['detik', 'ini', 'gue', 'baru', 'sadar', 'que', 'orangnya', 'ekstrovert', 'banget', 'gue', 'suka', 'keramaian']","['detik', 'gue', 'sadar', 'que', 'orangnya', 'ekstrovert', 'banget', 'gue', 'suka', 'keramaian']","['detik', 'ini', 'saya', 'baru', 'sadar', 'que', 'orangnya', 'ekstrovert', 'banget', 'saya', 'suka', 'keramaian']"
terimakasih ya buat semua yang udah dateng ke acara ulang tahun gueseneng deh bisa rayain rame rame gini,"baik sama orang lain emang belum tentu dibalas juga dengan kebaikan sama orang itu, tapi allah yang menilai kebaikan kebaikan kita. terus berbuat baik ya!!!","dokumentasi itu penting guys, jangan sampe kelewat detail detail acara yang harus diperhatikan untuk di foto atau di video-in..","duuuhh gimana ya besok hasilnya, pengumuman tes masuk ptn tempat gue daftar, deg degan banget gue mikirinnyaaa..ampe mules, ga bisa tidur…","enjoy aja, lagi! nikmati banyak kesempatan yang ada gausah banyak mikir..","['terimakasih', 'ya', 'buat', 'semua', 'yang', 'udah', 'dateng', 'ke', 'acara', 'ulang', 'tahun', 'gueseneng', 'deh', 'bisa', 'rayain', 'rame', 'rame', 'gini']","['terimakasih', 'udah', 'dateng', 'acara', 'ulang', 'gueseneng', 'deh', 'rayain', 'rame', 'rame', 'gini']","['terima kasih', 'ya', 'buat', 'semua', 'yang', 'sudah', 'dateng', 'ke', 'acara', 'ulang', 'tahun', 'gueseneng', 'deh', 'bisa', 'rayain', 'rame', 'rame', 'gini']"
hari ini camping sama tementemen sekolah seru banget meskipun banyak yang menjijikan dan sangat menguji adrenalin tapi kerja sama kita berhasil guys,"kasih sayang dan etika itu seperti bahan bakar untuk kehidupan sehari-hari. yuk, terapkan dalam setiap langkah kita.","akhirnya keterima jadi asdos juga semester ini, semoga semester depan dapet tawaran langsung deh dari dosennya","orang tua udah kerja keras, kenapa aku gak bisa kerja keras juga? aku cuma menambah penderitaan keluarga ini","sekarang model buku pelajaran dalam bentuk kartun banyak yaa, dahal dulu aku kira itu ga mungkin wkwkwk","['hari', 'ini', 'camping', 'sama', 'tementemen', 'sekolah', 'seru', 'banget', 'meskipun', 'banyak', 'yang', 'menjijikan', 'dan', 'sangat', 'menguji', 'adrenalin', 'tapi', 'kerja', 'sama', 'kita', 'berhasil', 'guys']","['camping', 'tementemen', 'sekolah', 'seru', 'banget', 'menjijikan', 'menguji', 'adrenalin', 'kerja', 'berhasil', 'guys']","['hari', 'ini', 'camping', 'sama', 'tementemen', 'sekolah', 'seru', 'banget', 'meskipun', 'banyak', 'yang', 'menjijikan', 'dan', 'sangat', 'menguji', 'adrenalin', 'tetapi', 'kerja', 'sama', 'kita', 'berhasil', 'guys']"
kemarin aku ke bioskop sama ibu ku kami nonton film comedy sumpah dari awal film sampe selesai aku ketawaa ngakaakk bangett wkwkwk,"suka ngejudge orang? coba deh berempati, mungkin ada cerita di balik tindakan seseorang.","minggu depan mau piknik sama teman-teman sekelasku, mau bikin list apa yang perlu dan gak perlu dibawa deh","semua temen-temenku udah mulai jadi orang sukses, kok aku masih stuck di sini sini aja ya? kapan aku bisa maju","keterbukaan pikiran itu penting, guys. buka mata, buka telinga, dan terima hal-hal baru dengan lapang dada. btw jangan lupa juga buka hati guys, siapa tau kecantol anak tunggal kaya raya :)","['kemarin', 'aku', 'ke', 'bioskop', 'sama', 'ibu', 'ku', 'kami', 'nonton', 'film', 'comedy', 'sumpah', 'dari', 'awal', 'film', 'sampe', 'selesai', 'aku', 'ketawaa', 'ngakaakk', 'bangett', 'wkwkwk']","['kemarin', 'bioskop', 'ku', 'nonton', 'film', 'comedy', 'sumpah', 'film', 'sampe', 'selesai', 'ketawaa', 'ngakaakk', 'bangett', 'wkwkwk']","['kemarin', 'saya', 'ke', 'bioskop', 'sama', 'ibu', 'ku', 'kami', 'nonton', 'film', 'comedy', 'sumpah', 'dari', 'awal', 'film', 'sampe', 'selesai', 'saya', 'ketawaa', 'ngakaakk', 'bangett', 'wkwkwk']"
tadi gue abis balik dari acara pameran fotografi gitu gue ketemu banyak orang yang kreatifkreatif bgt,"ayo gaes, sebarin kebaikan di sekitar kita","gagal itu bagian dari proses belajar. yang penting tetap disiplin, evaluasi diri, dan bangkit lagi. setiap kesalahan adalah pelajaran buat jadi lebih baik. keep going, keep growing","kenapa gue ngerasa tiap orang itu pilih kasih banget, ngerasa ga pernah dihargain, padahal udah gue kasih yang terbaik buat orang-orang","gue percaya, setiap orang pasti punya sisis artistik yang bisa dikembangkan. kita hanya butuh kesempatan dan keberanian aja untuk mencoba","['tadi', 'gue', 'abis', 'balik', 'dari', 'acara', 'pameran', 'fotografi', 'gitu', 'gue', 'ketemu', 'banyak', 'orang', 'yang', 'kreatifkreatif', 'bgt']","['gue', 'abis', 'acara', 'pameran', 'fotografi', 'gitu', 'gue', 'ketemu', 'orang', 'kreatifkreatif', 'bgt']","['tadi', 'saya', 'abis', 'balik', 'dari', 'acara', 'pameran', 'fotografi', 'begitu', 'saya', 'ketemu', 'banyak', 'orang', 'yang', 'kreatifkreatif', 'banget']"
dunia ini bakal sepi kalau gak ada temen temen yang selama ini temenin gue kemanamana dan ngapangapain bareng,"makin kesini makin pengen hidup biasa aja, yang damai damai aja..","beres beres dan bersih bersih kamar adalah hobi gue, apalagi kalo lagi libur.","kira kira bisa ga ya gue kerjain tugas ini, ga yakin deh..gue kan ga jago masalah ginian..","aku gak menyesali apapun yang udah terjadi, walaupun yang terjadi gak sesuai rencana, dari awal aku terbuka sama kemungkinan kemungkinan yang ada dalam hidup.","['dunia', 'ini', 'bakal', 'sepi', 'kalau', 'gak', 'ada', 'temen', 'temen', 'yang', 'selama', 'ini', 'temenin', 'gue', 'kemanamana', 'dan', 'ngapangapain', 'bareng']","['dunia', 'sepi', 'temen', 'temen', 'temenin', 'gue', 'kemanamana', 'ngapangapain', 'bareng']","['dunia', 'ini', 'bakal', 'sepi', 'kalau', 'tidak', 'ada', 'temen', 'temen', 'yang', 'selama', 'ini', 'temenin', 'saya', 'kemanamana', 'dan', 'ngapangapain', 'bareng']"
misal ada tantangan harus menyendiri selama seminggu di rumah gue pasti kalah gue ga bisa sendiri harus ketemu banian orang baru gue seneng,"gue bakal usahain bantu orang yang lagi kesusahan, baik itu sodara, temen, tetangga, rekan kantor, siapapun deh.",gue udah punya rencana dan pasti gue akan disiplin ikutin rencana gue itu,"sekalipun uji coba tes kemaren gue lolos, gak yakin bisa lolos di tes yang asli besok. pesimis, mikir antara mundur aja atau tetep gue ikutin tes nya.","gue selalu penasaran kalo liat alat alat teknologi baru, selalu pengen tau dan pengen mempelajari cara kerja nya.","['misal', 'ada', 'tantangan', 'harus', 'menyendiri', 'selama', 'seminggu', 'di', 'rumah', 'gue', 'pasti', 'kalah', 'gue', 'ga', 'bisa', 'sendiri', 'harus', 'ketemu', 'banian', 'orang', 'baru', 'gue', 'seneng']","['tantangan', 'menyendiri', 'seminggu', 'rumah', 'gue', 'kalah', 'gue', 'ketemu', 'banian', 'orang', 'gue', 'seneng']","['misal', 'ada', 'tantangan', 'harus', 'menyendiri', 'selama', 'seminggu', 'di', 'rumah', 'saya', 'pasti', 'kalah', 'saya', 'tidak', 'bisa', 'sendiri', 'harus', 'ketemu', 'banian', 'orang', 'baru', 'saya', 'seneng']"
pusing tugas kuliah akhirnya ke cartil deh malemmalem sama tementemen,"sedekah itu gak harus besar-besar, loh. kadang memberikan senyuman atau bantuan kecil pun bisa jadi amal baik.",rapat kepanitiaan jam 7 dan sekarang udah jam setengah 7 gue harus cepet berangkat sih biar gak terlambat,"gak pede banget buat tampil besok, pasti banyak yang lebih bagus dan keren daripada aku","inget pepatah ""intropeksi diri itu perlu. sebelum mengeluh, cobalah untuk bersyukur. jangan hanya buruknya yang diingat.""","['pusing', 'tugas', 'kuliah', 'akhirnya', 'ke', 'cartil', 'deh', 'malemmalem', 'sama', 'tementemen']","['pusing', 'tugas', 'kuliah', 'cartil', 'deh', 'malemmalem', 'tementemen']","['pusing', 'tugas', 'kuliah', 'akhirnya', 'ke', 'cartil', 'deh', 'malemmalem', 'sama', 'tementemen']"
lagi banyak trend tiktok nihh mari kitaa ikut semua trend itu bersama pacar ku tersayaangg wkwkkw,"saking senengnya dapet beasiswa, rasanya kayak menang lotre! 🎉","habis ditunjuk jadi koordinator acara karena kinerjaku di kepanitiaan sebelumnya, bersyukur banget","salah kenal orang di semester ini, gara gara dia gue stress dan ipk gue jelek","gue suka bereksperimen dengan ide-ide baru. bukan cuma karena ingin beda, tapi juga buat mencari solusi terbaik.","['lagi', 'banyak', 'trend', 'tiktok', 'nihh', 'mari', 'kitaa', 'ikut', 'semua', 'trend', 'itu', 'bersama', 'pacar', 'ku', 'tersayaangg', 'wkwkkw']","['trend', 'tiktok', 'nihh', 'mari', 'kitaa', 'trend', 'pacar', 'ku', 'tersayaangg', 'wkwkkw']","['lagi', 'banyak', 'trend', 'tiktok', 'nihh', 'mari', 'kitaa', 'ikut', 'semua', 'trend', 'itu', 'bersama', 'pacar', 'ku', 'tersayaangg', 'wkwkkw']"
seneng banget deh gue bisa kenalan sama banyak orang baru di acara kampus tadi,"hihi tadi aku abis nulis surat terimakasih buat guru aku, dan respon dia suka banget, kecil tapi berkesan hehe","gue abis ikut promosi jabatan, berat sih buat kedepanya. tapi gue percaya kalo gue sanggup krn semuanya udah gue persiapin dgn matang",rasanya hidup gue penuh dengan jebakan. pasti ada aja yang bikin gue jatuh lagi,gue selalu seneng kalau misal ada orang yang mau keluar dari zona nyamanya dia. menurut gue itu suatu hal yang sangat improve sekali dalam dirinya,"['seneng', 'banget', 'deh', 'gue', 'bisa', 'kenalan', 'sama', 'banyak', 'orang', 'baru', 'di', 'acara', 'kampus', 'tadi']","['seneng', 'banget', 'deh', 'gue', 'kenalan', 'orang', 'acara', 'kampus']","['seneng', 'banget', 'deh', 'saya', 'bisa', 'kenalan', 'sama', 'banyak', 'orang', 'baru', 'di', 'acara', 'kampus', 'tadi']"
banyak yang ajakin gue taun baruan ke ancol gak sabar banget pasti seru banget taun baruan rame rame disana,"ingat untuk selalu bersyukur, ingat semua hal hal baik dan orang orang yang baik ke kita, maka nikmat tuhanmu yang manakah yang kamu dustakan?","gue setuju kalo sebelum bertindak itu baiknya kita pikirkan dulu baik baik, jangan sampe kita gegabah ngelakuin sesuatu terus nantinya menyesal.","mungkin suatu saat, kalo gue udah sembuh dan mental gue yang gak stabil udah bisa gue atasin, hidup gue akan berubah, yang jelas sekarang gue belum bisa sembuh.",biasanya saya memiliki imajinasi yang aktif.,"['banyak', 'yang', 'ajakin', 'gue', 'taun', 'baruan', 'ke', 'ancol', 'gak', 'sabar', 'banget', 'pasti', 'seru', 'banget', 'taun', 'baruan', 'rame', 'rame', 'disana']","['ajakin', 'gue', 'taun', 'baruan', 'ancol', 'sabar', 'banget', 'seru', 'banget', 'taun', 'baruan', 'rame', 'rame', 'disana']","['banyak', 'yang', 'ajakin', 'saya', 'taun', 'baruan', 'ke', 'ancol', 'tidak', 'sabar', 'banget', 'pasti', 'seru', 'banget', 'taun', 'baruan', 'rame', 'rame', 'disana']"
pacar gue rajin banget kasih motivasi positif setiap kali gue down dia selalu ada buat ngingetin bahwa gue bisa,"kalau kata koh ernest, memaafkan gampang tp masalah sikap kita setelahnya itu beda lagi. setuju sih wkwkwk","kalau gak kerja keras sekarang, apa yang mau dinikmati di masa tua? gue gak mau nyesel karena gak berusaha keras dari sekarang",jujur aku panik banget karena sadar minggu depan udah masuk kuliah ,"gue suka menuangkan imajinasi yang ada di pikiran gue, tapi yang namanya seni menulis sama kayak seni menggambar, ada makna tersurat dan tersirat. ","['pacar', 'gue', 'rajin', 'banget', 'kasih', 'motivasi', 'positif', 'setiap', 'kali', 'gue', 'down', 'dia', 'selalu', 'ada', 'buat', 'ngingetin', 'bahwa', 'gue', 'bisa']","['pacar', 'gue', 'rajin', 'banget', 'kasih', 'motivasi', 'positif', 'kali', 'gue', 'down', 'ngingetin', 'gue']","['pacar', 'saya', 'rajin', 'banget', 'kasih', 'motivasi', 'positif', 'setiap', 'kali', 'saya', 'down', 'dia', 'selalu', 'ada', 'buat', 'ngingetin', 'bahwa', 'saya', 'bisa']"
,terima kasih buat semua relawan yang udah kerja keras bantu korban banjir. kalian hebat banget! semoga amal baik kalian dibalas berlipat-lipat.,,,,[],[],[]
ada tempat sushi baru deket rumah gue besok ajakin temen temen gue ramean makan disana ah,"pelajaran penting, sebisa mungkin berbuat baik ke orang, kita gak tau mereka sedang kesulitan apa, dan kebaikan itu juga nantinya akan kembali kepada kita.","selalu ingin ngerjain tugas tugas kuliah dengan perfek, gak bisa tenang kalo belum gue kerjain bener bener dan serius sampai selesai dengan baik.","hari ini banyak banget kerjaan nya, mana yang lain ngga pada bantuin. kalo ngeluh ntar dibilang manja lah, egoislah.",saya lebih suka berdiskusi tentang hal hal teoretis daripada berbasa-basi.,"['ada', 'tempat', 'sushi', 'baru', 'deket', 'rumah', 'gue', 'besok', 'ajakin', 'temen', 'temen', 'gue', 'ramean', 'makan', 'disana', 'ah']","['sushi', 'deket', 'rumah', 'gue', 'besok', 'ajakin', 'temen', 'temen', 'gue', 'ramean', 'makan', 'disana', 'ah']","['ada', 'tempat', 'sushi', 'baru', 'deket', 'rumah', 'saya', 'besok', 'ajakin', 'temen', 'temen', 'saya', 'ramean', 'makan', 'disana', 'ah']"
abis cerita ke temen gue kalo tadi di kampus gue ketemu sama orang yang udah lama gua suka hihi,"di masa sulit ini, yuk mending kita saling menguatkan satu sama lain","bentar lagi ujian, waktunya gue belajar lebih rajin. semoga hasilnya sesuai harapan","tiap kali gue bangkit, kenapa jatuh terus. ngga pernah berhasil buat gue keluar dari lingkaran kegagalan ini",pernah ga kalau kalian ngerasa tiba-tiba dapat inspirasi dari hal-hal sepele? hal itu yang bikin hidup kita penuh kejutan,"['abis', 'cerita', 'ke', 'temen', 'gue', 'kalo', 'tadi', 'di', 'kampus', 'gue', 'ketemu', 'sama', 'orang', 'yang', 'udah', 'lama', 'gua', 'suka', 'hihi']","['abis', 'cerita', 'temen', 'gue', 'kampus', 'gue', 'ketemu', 'orang', 'udah', 'gua', 'suka', 'hihi']","['abis', 'cerita', 'ke', 'temen', 'saya', 'kalau', 'tadi', 'di', 'kampus', 'saya', 'ketemu', 'sama', 'orang', 'yang', 'sudah', 'lama', 'gua', 'suka', 'hihi']"
baru saja kenalan sama orang baru di kafe dan seru banget intinya ngobrolin halhal random itu selalu seru,tadi ketemu kucing yang kuruss banget... kasian banget :(,"ngeri banget sih pergaulan jaman sekarang, untung gue gak gampang kebawa arus",kadang tuh mikir kok bisa ada manusia sehampir sempurna itu. sedangkan gue bahkan gak tau passion gue dimana.,"tolong diubah mindset kalau cuman laki-laki aja yang boleh sekolah tinggi-tinggi, perempuan juga berhak buat berpendidikan tinggi terlebih lagi kita hidup buat membahagiakan diri masing-masing!","['baru', 'saja', 'kenalan', 'sama', 'orang', 'baru', 'di', 'kafe', 'dan', 'seru', 'banget', 'intinya', 'ngobrolin', 'halhal', 'random', 'itu', 'selalu', 'seru']","['kenalan', 'orang', 'kafe', 'seru', 'banget', 'intinya', 'ngobrolin', 'halhal', 'random', 'seru']","['baru', 'saja', 'kenalan', 'sama', 'orang', 'baru', 'di', 'kafe', 'dan', 'seru', 'banget', 'intinya', 'ngobrolin', 'halhal', 'random', 'itu', 'selalu', 'seru']"
bingung banget deh mau kasih kado apa ke sahabat gue ada ide ga,"ga nyangka ya, ternyata ngobrol aja bisa bikin hati kita dan pikiran jadi tenang, padahal tadinya pusing banget","disiplin bukan cuman masalah tentang waktu ya, tapi soal komitmen juga buat ngejalanin apa yang udah direncanain","kayanya orang yang masalahnya paling banyak di dunia cuman gue doang, liat temen-temen gue pada bahagia rasanya sakit banget krn gue gabisa kaya temen gue. tiap hari kerjaan gue terpuruk terus ga ada yang bisa ngertiin gue ","puisi merupakan medium yang indah. lewat kata-kata, kita bisa menyampaikan persaan yang mendalam lewat ekspresi kita yang indah pula","['bingung', 'banget', 'deh', 'mau', 'kasih', 'kado', 'apa', 'ke', 'sahabat', 'gue', 'ada', 'ide', 'ga']","['bingung', 'banget', 'deh', 'kasih', 'kado', 'sahabat', 'gue', 'ide']","['bingung', 'banget', 'deh', 'mau', 'kasih', 'kado', 'apa', 'ke', 'sahabat', 'saya', 'ada', 'ide', 'tidak']"
